,SON KULLANMA TARİHİ GEÇEN İLAÇLAR,,,
Sıra,Ürün Adı,Toplam Ürün Kutu Sayısı,Toplam Ürün İçerik Sayısı,Detay
1,%5 DEKSTROZ 500 ML.,4,4,SKT-2024-12:4 kutu
2,%20 DEKSTROZ 500 ML.,3,3,"SKT-2025-01:2 kutu, SKT-2024-11:1 kutu"
3,%5 DEKSTROZ 250 ML.,6,6,SKT-2025-01:6 kutu
4,%0.9 İZOTONİK SODYUM KLORÜR 500 ML.,7,7,SKT-2025-01:7 kutu
5,%0.9 İZOTONİK SODYUM KLORÜR 1000 ML.,3,3,SKT-2024-11:3 kutu
6,İZOLEN DENGELİ 500 ML.,3,3,SKT-2025-01:3 kutu
7,İzolen-S PH 7.4 ELEKTROLİT ÇÖZELTİ 500 ML.,3,3,SKT-2024-11:3 kutu
8,CORDARONE BT 200 MG 30 TABLET,2,60,SKT-2024-11:2 kutu
9,BRUFEN 600 MG 20 FILM TABLET,1,20,SKT-2024-10:1 kutu
10,ARVELES 25 MG 20 FILM TABLET,1,10,SKT-2024-12:1 kutu
11,BUSCOPAN 10 MG 20 TB,3,50,SKT-2024-10:3 kutu
12,PREDNOL-L 40 MG FLAKON,1,1,SKT-2024-11:1 kutu
13,MİDAJECT 15MG/3ML 5 AMP,1,2,SKT-2024-11:1 kutu
14,DRAMAMINE 50 MG 5 AMPUL,1,4,SKT-2024-12:1 kutu
15,"XANAX 0,5 MG 30 TABLET",1,20,SKT-2021-04:1 kutu
16,DİAZEPAM DESİTİN RECTAL TUBE 5 MG,1,1,?
