Unnamed: 0,SON KULLANMA TARİHİ GEÇEN İLAÇLAR,Unnamed: 2,Unnamed: 3,Unnamed: 4,SheetName,NARKOTİK İLAÇ ÇEKMECESİ,desk üzeri,1. çekmece,desk 1. dolap,1. dolap 1. raf,1. Dolap 2. Raf,1. dolap 3. raf,1. dolap 4. raf,1. dolap 5. raf,2. Dolap 1. Raf,2. dolap 2. raf,2. dolap 3. raf,2. dolap 4. raf,2. dolap 5. raf kutu,3. DOLAP 1. RAF,DOLAP ÜSTÜ 1. KUTU,DOLAP ÜSTÜ 2. KUTU
Sıra,Ürün Adı,Toplam Ürün Kutu Sayısı,Toplam Ürün İçerik Sayısı,Detay,TARİHİ GEÇEN İLAÇLAR,,,,,,,,,,,,,,,,,
1,%5 DEKSTROZ 500 ML.,4,4,SKT-2024-12:4 kutu,TARİHİ GEÇEN İLAÇLAR,,,,,,,,,,,,,,,,,
2,%20 DEKSTROZ 500 ML.,3,3,"SKT-2025-01:2 kutu, SKT-2024-11:1 kutu",TARİHİ GEÇEN İLAÇLAR,,,,,,,,,,,,,,,,,
3,%5 DEKSTROZ 250 ML.,6,6,SKT-2025-01:6 kutu,TARİHİ GEÇEN İLAÇLAR,,,,,,,,,,,,,,,,,
4,%0.9 İZOTONİK SODYUM KLORÜR 500 ML.,7,7,SKT-2025-01:7 kutu,TARİHİ GEÇEN İLAÇLAR,,,,,,,,,,,,,,,,,
5,%0.9 İZOTONİK SODYUM KLORÜR 1000 ML.,3,3,SKT-2024-11:3 kutu,TARİHİ GEÇEN İLAÇLAR,,,,,,,,,,,,,,,,,
6,İZOLEN DENGELİ 500 ML.,3,3,SKT-2025-01:3 kutu,TARİHİ GEÇEN İLAÇLAR,,,,,,,,,,,,,,,,,
7,İzolen-S PH 7.4 ELEKTROLİT ÇÖZELTİ 500 ML.,3,3,SKT-2024-11:3 kutu,TARİHİ GEÇEN İLAÇLAR,,,,,,,,,,,,,,,,,
8,CORDARONE BT 200 MG 30 TABLET,2,60,SKT-2024-11:2 kutu,TARİHİ GEÇEN İLAÇLAR,,,,,,,,,,,,,,,,,
9,BRUFEN 600 MG 20 FILM TABLET,1,20,SKT-2024-10:1 kutu,TARİHİ GEÇEN İLAÇLAR,,,,,,,,,,,,,,,,,
