Ürün Adı,Toplam Ürün Kutu Sayısı,Toplam Ürün İçerik Sayısı,Detay,Dolap,SKT
%0.9 İZOTONİK SODYUM KLORÜR 500 ML.,1.0,1.0,511,TARİHİ GEÇEN İLAÇLAR,SKT
%5 Dekstroz 500 ml.,1.0,1.0,259,Bilinmiyor,SKT
0.0,7.0,1.0,3,desk dolaplar,SKT
1,4.0,6.0,4,2d4r,SKT
1,1.0,1.0,5,2d4r,SKT
1,30.0,20.0,1,Bilinmiyor,SKT
1,1.0,3.0,2,2d3r,SKT
1,1.0,2.0,1,2d3r,SKT
1,2.0,2.0,2,2d2r,SKT
1,2.0,1.0,2,2d3r,SKT
1,1.0,1.0,1,2d1r,SKT
1,1.0,4.0,2,2d1r,SKT
1,1.0,1.0,0,1d5r,SKT
1,1.0,1.0,2,1d5r,SKT
1,1.0,2.0,2,1d5r,SKT
1,1.0,2.0,2,2d4r,SKT
1,1.0,1.0,3,2d2r,SKT
1,14.0,5.0,0,2d5r,SKT
1,2.0,2.0,4,Bilinmiyor,SKT
1,1.0,150.0,14,Bilinmiyor,SKT
1,2.0,1.0,1,Bilinmiyor,SKT
1,1.0,1.0,1,Bilinmiyor,SKT
1,1.0,1.0,1,Bilinmiyor,SKT
1,1.0,1.0,1,Bilinmiyor,SKT
1,1.0,1.0,0,Bilinmiyor,SKT
1,1.0,3.0,10,Bilinmiyor,SKT
1,1.0,1.0,200,Bilinmiyor,SKT
1,15.0,8.0,6,Bilinmiyor,SKT
1,1.0,1.0,1,Bilinmiyor,SKT
1,80.0,2.0,2,Bilinmiyor,SKT
1,2.0,1.0,2,1d4r,SKT
1,1.0,1.0,1,1d4r,SKT
1,1.0,5.0,34,Bilinmiyor,SKT
1,1.0,1.0,1,desk Üstü,SKT
1,4.0,4.0,100,desk dolaplar,SKT
1,1.0,1.0,6,desk Üstü,SKT
1,1.0,2.0,50,1d1r,SKT
1,2.0,1.0,1,1d1r,SKT
1,2.0,3.0,1,1d4r,SKT
1,1.0,1.0,1,desk Üstü,SKT
1,2.0,1.0,0,1d3r,SKT
1,2.0,6.0,2,1d3r,SKT
1,1.0,1.0,1,desk çekmeceler,SKT
1.0,1.0,1.0,1,Bilinmiyor,SKT
1.0,1.0,1.0,1,Bilinmiyor,SKT
1.0,1.0,1.0,100,Bilinmiyor,SKT
1.0,1.0,1.0,1,desk çekmeceler,SKT
1.0,0.0,9.0,4,desk çekmeceler,SKT
1.0,1.0,1.0,1,Bilinmiyor,SKT
1.0,1.0,1.0,0,desk dolaplar,SKT
1.0,1.0,100.0,1,Bilinmiyor,SKT
10,54.0,7.0,2,DÜ2,SKT
10,19.0,11.0,4,2d2r,SKT
10,40.0,60.0,20,Bilinmiyor,SKT
100,1.0,1.0,12,Bilinmiyor,SKT
100.0,1.0,1.0,1,Bilinmiyor,SKT
11,1.0,2.0,4,Bilinmiyor,SKT
120,240.0,60.0,1,Bilinmiyor,SKT
14,5.0,1.0,20,Bilinmiyor,SKT
15,5.0,2.0,5,Bilinmiyor,SKT
17,8.0,4.0,2,2d5r,SKT
19,11.0,4.0,0,Bilinmiyor,SKT
2,1.0,2.0,1,desk Üstü,SKT
2,2.0,20.0,1,Bilinmiyor,SKT
2,7.0,6.0,2,3d1r,SKT
2,6.0,2.0,18,Bilinmiyor,SKT
2,1.0,16.0,7,2d5r,SKT
2,1.0,1.0,2,2d1r,SKT
2,3.0,2.0,4,1d1r,SKT
2,4.0,20.0,1,DÜ2,SKT
2,2.0,2.0,20,1d2r,SKT
2,1.0,1.0,2,1d5r,SKT
2,1.0,1.0,5,Bilinmiyor,SKT
2,10.0,1.0,5,Bilinmiyor,SKT
20,30.0,10.0,4,Bilinmiyor,SKT
20,20.0,60.0,80,Bilinmiyor,SKT
20,10.0,50.0,1,DÜ2,SKT
20,60.0,4.0,168,Bilinmiyor,SKT
200,1.0,1.0,0,1d3r,SKT
2025-08-01 00:00:00,1.0,1.0,2036,Bilinmiyor,SKT
2028-04-01 00:00:00,1.0,1.0,0,Bilinmiyor,SKT
210,240.0,60.0,90,Bilinmiyor,SKT
3,3.0,3.0,60,DÜ1,SKT
3,1.0,170.0,0,DÜ1,SKT
3,2.0,4.0,6,Bilinmiyor,SKT
3,1.0,3.0,8,1d3r,SKT
3,1.0,1.0,1,N.ÇEKMECESİ,SKT
3,2.0,1.0,1,N.ÇEKMECESİ,SKT
3,2.0,3.0,1,Bilinmiyor,SKT
30,28.0,1.0,1,Bilinmiyor,SKT
34,1.0,1.0,1,2d1r,SKT
4,16.0,1.0,1,Bilinmiyor,SKT
4,40.0,100.0,20,Bilinmiyor,SKT
4,4.0,16.0,4,2d4r,SKT
4,4.0,2.0,4,2d5r,SKT
4,3.0,6.0,7,DÜ1,SKT
4,3.0,1.0,2,1d4r,SKT
40,30.0,56.0,20,Bilinmiyor,SKT
5,4.0,120.0,90,Bilinmiyor,SKT
5,24.0,60.0,210,Bilinmiyor,SKT
5,6.0,1.0,2,1d2r,SKT
5,1.0,30.0,30,Bilinmiyor,SKT
5,3.0,2.0,3,2d3r,SKT
50,20.0,96.0,30,Bilinmiyor,SKT
54,4.0,180.0,160,Bilinmiyor,SKT
6,7.0,3.0,3,N.ÇEKMECESİ,SKT
6,1.0,2.0,6,Bilinmiyor,SKT
6,4.0,1.0,4,1d1r,SKT
6,7.0,1.0,2,1d2r,SKT
6,9.0,4.0,9,3d1r,SKT
6.0,3.0,3.0,0,desk çekmeceler,SKT
60,10.0,20.0,20,Bilinmiyor,SKT
7,4.0,4.0,5,3d1r,SKT
7,1.0,2.0,2,Bilinmiyor,SKT
8,5.0,4.0,3,3d1r,SKT
8,4.0,2.0,1,Bilinmiyor,SKT
8,2.0,2.0,2,Bilinmiyor,SKT
80,4.0,100.0,2,Bilinmiyor,SKT
9,5.0,4.0,4,DÜ1,SKT
9.0,1.0,1.0,1,desk dolaplar,SKT
"ADRENALIN 0,5 MG 10 AMPUL",1.0,1.0,11,Bilinmiyor,SKT
APRANAX FORTE 550 MG 10 FILM KAPLI TABLET,1.0,1.0,260,Bilinmiyor,SKT
"ATROPIN GALEN 0,5 MG 10 AMPUL",1.0,1.0,62,Bilinmiyor,SKT
Airway Kırmızı 5/100,1.0,1.0,72,Bilinmiyor,SKT
Airway Mavi 0/50,1.0,1.0,0,Bilinmiyor,SKT
Airway Sarı 4/90,1.0,1.0,61,Bilinmiyor,SKT
Aspirasyon Sondası Yeşil 08 ch,1.0,1.0,0,Bilinmiyor,SKT
Avil,1.0,1.0,0,Bilinmiyor,SKT
BELOC ZOK 25 MG 20 KONT.SAL.FILM TABLETI,1.0,1.0,330,Bilinmiyor,SKT
BUSCOPAN 20 MG/ML ENJEKSIYONLUK COZELTI (6 AMPUL),1.0,1.0,58,Bilinmiyor,SKT
Batiderm %10 Povidon İyot 1000 ml.,1.0,1.0,1000,Bilinmiyor,SKT
Bemiks,1.0,1.0,0,Bilinmiyor,SKT
CALPOL 120 MG 150 ML SUSPANSIYON,1.0,1.0,55,Bilinmiyor,SKT
CALPOL 120 MG 150 ML SUSPANSIYON,1.0,1.0,83,Bilinmiyor,SKT
CONTRAMAL 100 MG/2ML AMP,1.0,1.0,0,Bilinmiyor,SKT
CORDARONE BT 200 MG 30 TABLET,1.0,1.0,30,TARİHİ GEÇEN İLAÇLAR,SKT
DICLOMEC %1 50 GR JEL,1.0,1.0,0,Bilinmiyor,SKT
DICLOMEC 3 ML 75 MG 10 AMPUL,1.0,1.0,680,Bilinmiyor,SKT
DOPADREN 200 MG/5 ML ENJEKSIYONLUK SOLUSYON ICEREN 5 AMPUL,1.0,1.0,12,Bilinmiyor,SKT
Detay,1.0,1.0,2038,Bilinmiyor,SKT
Detay,1.0,1.0,2031,Bilinmiyor,SKT
Detay,1.0,1.0,2028,Bilinmiyor,SKT
DİAZEPAM DESİTİN RECTAL TUBE 5 MG,1.0,4.0,3,N.ÇEKMECESİ,SKT
ECOPIRIN 300 MG 30 ENTERIK KAPLI TABLET,1.0,1.0,12,Bilinmiyor,SKT
EKG Cihazı Mindray BeneHeart R12,1.0,1.0,0,Bilinmiyor,SKT
