Sıra,Ürün Adı,Toplam Ürün Kutu Sayısı,Toplam Ürün İçerik Sayısı,Detay,yer,SheetName,Unnamed: 6
1.0,SEDEVER 5MG/5ML 5 AMP.,1,3,SKT-2026-04:1 kutu,NARKOTİK İLAÇ ÇEKMECESİ,N.ÇEKMECESİ,
2.0,DIAKSI 5 MG /2.5 ML REKTAL COZELTI,1,3,SKT-2026-05:1 kutu,NARKOTİK İLAÇ ÇEKMECESİ,N.ÇEKMECESİ,
3.0,ATROPİN 1MG/1ML 10 AMP.,1,10,SKT-2026-07:1 kutu,NARKOTİK İLAÇ ÇEKMECESİ,N.ÇEKMECESİ,
4.0,ADRENALIN 1 MG 10 AMPUL,1,10,SKT-2028-03:1 kutu,NARKOTİK İLAÇ ÇEKMECESİ,N.ÇEKMECESİ,
5.0,"ADRENALIN 0,5 MG 10 AMPUL",6,54,"SKT-2027-04:3 kutu, SKT-2027-01:2 kutu, SKT-2028-03:1 kutu",NARKOTİK İLAÇ ÇEKMECESİ,N.ÇEKMECESİ,
6.0,PETHOLAN 100 MG/2ML 5 AMP.,2,7,"SKT-2027-02:1 kutu, SKT-2026-09:1 kutu",NARKOTİK İLAÇ ÇEKMECESİ,N.ÇEKMECESİ,
7.0,LARGACTIL 25 MG ENJEKSIYONLUK/INFUZYONLUK COZELTI ICEREN AMPUL (10 AMPUL),1,2,SKT-2027-01:1 kutu,NARKOTİK İLAÇ ÇEKMECESİ,N.ÇEKMECESİ,
8.0,ATROPIN GALEN 1 MG 10 AMPUL,2,11,SKT-2026-09:2 kutu,NARKOTİK İLAÇ ÇEKMECESİ,N.ÇEKMECESİ,
9.0,"ATROPIN GALEN 0,5 MG 10 AMPUL",1,1,SKT-2026-09:1 kutu,NARKOTİK İLAÇ ÇEKMECESİ,N.ÇEKMECESİ,
10.0,NORODOL 5 MG 5 AMPUL,1,2,SKT-2026-08:1 kutu,NARKOTİK İLAÇ ÇEKMECESİ,N.ÇEKMECESİ,
11.0,AKINETON 5 MG/ML ENJEKSIYON ICIN SOLUSYON ICEREN 1 ML X 5 AMPUL,1,4,SKT-2027-11:1 kutu,NARKOTİK İLAÇ ÇEKMECESİ,N.ÇEKMECESİ,
12.0,DRAMAMINE 50 MG 12 TABLET,1,8,SKT-2026-02:1 kutu,NARKOTİK İLAÇ ÇEKMECESİ,N.ÇEKMECESİ,
13.0,CONTRAMAL 100 MG/2ML AMP,1,2,SKT-2025-05:1 kutu,NARKOTİK İLAÇ ÇEKMECESİ,N.ÇEKMECESİ,
14.0,MORFİN 0.01MG/1ML AMP.,1,2,SKT-2025-06:1 kutu,NARKOTİK İLAÇ ÇEKMECESİ,N.ÇEKMECESİ,
15.0,DİAZEM 10MG/2ML AMP.,1,2,SKT-2026-05:1 kutu,NARKOTİK İLAÇ ÇEKMECESİ,N.ÇEKMECESİ,
1.0,Tahta Dil Basacağı,1,100,SKT-3000-12:1 kutu,desk üzeri,deskÜstü,
2.0,Batiderm %10 Povidon İyot 1000 ml.,1,1,SKT-2025-03:1 kutu,desk üzeri,deskÜstü,
3.0,Etil Alkol 70' Base Cologne 1000 ml.,1,1,SKT-2029-01:1 kutu,desk üzeri,deskÜstü,
4.0,El Dezenfektanı Dermosept Handplus 1000 ml.,1,1,SKT-3000-12:1 kutu,desk üzeri,deskÜstü,
5.0,Oksijenli Su Dermosept 1000 ml.,1,1,SKT-2025-05:1 kutu,desk üzeri,deskÜstü,
6.0,Zephirafix Fort Çözelti 1000 ml.,1,1,SKT-3000-12:1 kutu,desk üzeri,deskÜstü,
7.0,Alkollü Mendil,1,100,SKT-2029-07:1 kutu,desk üzeri,deskÜstü,
8.0,Atropin,0,0,yok,desk üzeri,deskÜstü,
9.0,Novalgin,9,1,2025-05-01 00:00:00,desk üzeri,deskÜstü,
10.0,Avil,4,1,2025-08-01 00:00:00,desk üzeri,deskÜstü,
11.0,Türktıpsan Feniramin,6,1,2025-08-01 00:00:00,desk üzeri,deskÜstü,
12.0,Dekort,3,1,2026-02-01 00:00:00,desk üzeri,deskÜstü,
13.0,Metpamid,3,1,2027-12-01 00:00:00,desk üzeri,deskÜstü,
